Tr;Time;RI_mz;N;mean;sd;se
121;F;2;X.Glutamic.acid..2TMS.;5;0.429662887855715;0.332057417682159;0.148500591674069
122;F;2;X.2.Oxoglutaric.acid..1MEOX...2TMS..BP;5;0.351774903992197;0.365060304682121;0.163259931431201
123;F;2;X.Threonic.acid..4TMS.;5;0.571952983954936;0.328681963539517;0.146991042690494
124;F;2;X.Phenylalanine..2TMS.;5;0.317153367343833;0.269438721420812;0.120496659373513
125;F;2;X.Asparagine..3TMS.;5;0.559843814505788;0.376719838863819;0.168474233634453
126;F;2;X.Putrescine..4TMS.;5;0.313613706391635;0.39316751171416;0.175829856547461
127;F;2;X.Ornithine..4TMS.;5;0.303436625167413;0.0735358541380299;0.0328862337272288
128;F;2;X.Citric.acid..4TMS.;5;0.37104784758682;0.288269512434022;0.128918045128639
129;F;2;X.Fructose..1MEOX...5TMS..MP;5;0.217426830213392;0.187418460908368;0.0838160837658997
130;F;2;X.Galactose..1MEOX...5TMS..MP;5;0.209148300725697;0.207900860381274;0.0929760912786442
131;F;2;X.Lysine..4TMS.;5;0.344675214851685;0.152392806612543;0.0681521349735252
132;F;2;X.Tyrosine..3TMS.;5;0.28036495140697;0.402748467013709;0.180114590015297
133;F;2;X.Glucose..1MEOX...5TMS..BP;5;0.323818581130128;0.277424891289405;0.12406818311472
134;F;2;X.Gluconic.acid..6TMS.;5;0.340603486279958;0.410060487605479;0.183384625034512
135;F;2;X.myo.Inositol..6TMS.;5;0.365347252665724;0.176087812593226;0.0787488637935394
136;F;2;X.Sucrose..8TMS.;5;0.0159188582433276;0.0157692188474942;0.00705220905901357
137;F;2;X.Trehalose..8TMS.;5;0.170825101030179;0.154343170186676;0.0690243640800455
138;F;2;X.Maltose..1MEOX...8TMS..MP;5;0.515912103897561;0.16057859626667;0.0718129313967537
139;F;2;X.Melibiose..1MEOX...8TMS..BP;5;0.387822834065864;0.201997494010276;0.0903360255783166
140;F;2;X.Galactinol..9TMS.;5;0.513247511684317;0.327077337206261;0.146273431978564
141;F;4;X.Pyruvic.acid..1TMS.;5;0.137052602143193;0.0646864673818784;0.0289286676580406
142;F;4;X.Lactic.Acid..2TMS.;5;0.141635201125028;0.0500842754821369;0.0223983689163768
143;F;4;X.Valine..1TMS.;5;0.0865608053910559;0.039866245467569;0.0178287269746354
144;F;4;X.Alanine..2TMS.;5;0.00337217280839935;0.000766430609577246;0.000342758188610265
145;F;4;X.Leucine..2TMS.;5;0.0806548417019637;0.0245987416885058;0.0110008917152914
146;F;4;X.Threonine..2TMS.;5;0.217493914400219;0.0644957466738709;0.0288433747644763
147;F;4;X.Proline..2TMS.;5;0.0271175060637342;0.0118247780732295;0.00528820151811803
148;F;4;X.Succinic.acid..2TMS.;5;0.160908911712295;0.15891407769378;0.0710685360609949
149;F;4;X.Glycine..3TMS.;5;0.0648183368566694;0.04431350391287;0.0198176014140761
150;F;4;X.Fumaric.acid..2TMS.;5;0.0291417970827258;0.0199047633607972;0.00890168079015793
151;F;4;X.Serine..3TMS.;5;0.009440826709913;0.0145349115023528;0.00650021003324091
152;F;4;X.Methionine..1TMS.;5;0.241440910574637;0.109553155753806;0.0489936606830266
153;F;4;X.Aspartic.acid..2TMS.;5;0.0279282404998691;0.014629152350001;0.00654235582156058
154;F;4;X.Glutamine...H2O...2TMS.;5;0.026797749853221;0.0133379331509429;0.00596490504097127
155;F;4;X.Malic.acid..3TMS.;5;0.00734882919694941;0.0117677753411807;0.00526270912136515
